Rok,Województwo,Liczba
1999,Dolnośląskie,529
1999,Kujawsko-Pomorskie,428
1999,Lubelskie,349
1999,Lubuskie,92
1999,Mazowieckie,975
1999,Małopolskie,569
1999,Opolskie,174
1999,Podkarpackie,316
1999,Podlaskie,244
1999,Pomorskie,372
1999,Warmińsko-Mazurskie,188
1999,Wielkopolskie,627
1999,Zachodniopomorskie,203
1999,Łódzkie,261
1999,Śląskie,859
1999,Świętokrzyskie,380
2000,Dolnośląskie,530
2000,Kujawsko-Pomorskie,379
2000,Lubelskie,417
2000,Lubuskie,116
2000,Mazowieckie,927
2000,Małopolskie,532
2000,Opolskie,159
2000,Podkarpackie,380
2000,Podlaskie,201
2000,Pomorskie,363
2000,Warmińsko-Mazurskie,149
2000,Wielkopolskie,625
2000,Zachodniopomorskie,202
2000,Łódzkie,315
2000,Śląskie,788
2000,Świętokrzyskie,375
2001,Dolnośląskie,519
2001,Kujawsko-Pomorskie,322
2001,Lubelskie,473
2001,Lubuskie,115
2001,Mazowieckie,985
2001,Małopolskie,547
2001,Opolskie,219
2001,Podkarpackie,305
2001,Podlaskie,236
2001,Pomorskie,383
2001,Warmińsko-Mazurskie,176
2001,Wielkopolskie,662
2001,Zachodniopomorskie,252
2001,Łódzkie,341
2001,Śląskie,710
2001,Świętokrzyskie,314
2002,Dolnośląskie,536
2002,Kujawsko-Pomorskie,296
2002,Lubelskie,495
2002,Lubuskie,83
2002,Mazowieckie,947
2002,Małopolskie,587
2002,Opolskie,159
2002,Podkarpackie,332
2002,Podlaskie,232
2002,Pomorskie,379
2002,Warmińsko-Mazurskie,152
2002,Wielkopolskie,673
2002,Zachodniopomorskie,302
2002,Łódzkie,343
2002,Śląskie,633
2002,Świętokrzyskie,321
2003,Dolnośląskie,576
2003,Kujawsko-Pomorskie,365
2003,Lubelskie,482
2003,Lubuskie,127
2003,Mazowieckie,984
2003,Małopolskie,677
2003,Opolskie,148
2003,Podkarpackie,436
2003,Podlaskie,242
2003,Pomorskie,369
2003,Warmińsko-Mazurskie,231
2003,Wielkopolskie,655
2003,Zachodniopomorskie,324
2003,Łódzkie,316
2003,Śląskie,868
2003,Świętokrzyskie,338
2004,Dolnośląskie,549
2004,Kujawsko-Pomorskie,373
2004,Lubelskie,534
2004,Lubuskie,98
2004,Mazowieckie,1125
2004,Małopolskie,682
2004,Opolskie,164
2004,Podkarpackie,462
2004,Podlaskie,241
2004,Pomorskie,332
2004,Warmińsko-Mazurskie,244
2004,Wielkopolskie,724
2004,Zachodniopomorskie,368
2004,Łódzkie,543
2004,Śląskie,813
2004,Świętokrzyskie,336
2005,Dolnośląskie,550
2005,Kujawsko-Pomorskie,362
2005,Lubelskie,695
2005,Lubuskie,118
2005,Mazowieckie,1009
2005,Małopolskie,682
2005,Opolskie,152
2005,Podkarpackie,468
2005,Podlaskie,276
2005,Pomorskie,367
2005,Warmińsko-Mazurskie,251
2005,Wielkopolskie,635
2005,Zachodniopomorskie,258
2005,Łódzkie,594
2005,Śląskie,873
2005,Świętokrzyskie,313
2006,Dolnośląskie,578
2006,Kujawsko-Pomorskie,435
2006,Lubelskie,628
2006,Lubuskie,119
2006,Mazowieckie,981
2006,Małopolskie,626
2006,Opolskie,132
2006,Podkarpackie,491
2006,Podlaskie,262
2006,Pomorskie,362
2006,Warmińsko-Mazurskie,181
2006,Wielkopolskie,769
2006,Zachodniopomorskie,262
2006,Łódzkie,505
2006,Śląskie,883
2006,Świętokrzyskie,316
2007,Dolnośląskie,722
2007,Kujawsko-Pomorskie,464
2007,Lubelskie,617
2007,Lubuskie,154
2007,Mazowieckie,784
2007,Małopolskie,617
2007,Opolskie,130
2007,Podkarpackie,537
2007,Podlaskie,192
2007,Pomorskie,415
2007,Warmińsko-Mazurskie,260
2007,Wielkopolskie,700
2007,Zachodniopomorskie,262
2007,Łódzkie,557
2007,Śląskie,862
2007,Świętokrzyskie,299
2008,Dolnośląskie,694
2008,Kujawsko-Pomorskie,516
2008,Lubelskie,531
2008,Lubuskie,196
2008,Mazowieckie,789
2008,Małopolskie,663
2008,Opolskie,150
2008,Podkarpackie,538
2008,Podlaskie,160
2008,Pomorskie,356
2008,Warmińsko-Mazurskie,240
2008,Wielkopolskie,742
2008,Zachodniopomorskie,247
2008,Łódzkie,594
2008,Śląskie,975
2008,Świętokrzyskie,330
2009,Dolnośląskie,637
2009,Kujawsko-Pomorskie,521
2009,Lubelskie,500
2009,Lubuskie,229
2009,Mazowieckie,681
2009,Małopolskie,616
2009,Opolskie,158
2009,Podkarpackie,560
2009,Podlaskie,165
2009,Pomorskie,490
2009,Warmińsko-Mazurskie,265
2009,Wielkopolskie,795
2009,Zachodniopomorskie,257
2009,Łódzkie,623
2009,Śląskie,1079
2009,Świętokrzyskie,328
2010,Dolnośląskie,671
2010,Kujawsko-Pomorskie,469
2010,Lubelskie,562
2010,Lubuskie,195
2010,Mazowieckie,822
2010,Małopolskie,540
2010,Opolskie,228
2010,Podkarpackie,674
2010,Podlaskie,159
2010,Pomorskie,577
2010,Warmińsko-Mazurskie,252
2010,Wielkopolskie,854
2010,Zachodniopomorskie,285
2010,Łódzkie,628
2010,Śląskie,1067
2010,Świętokrzyskie,316
2011,Dolnośląskie,613
2011,Kujawsko-Pomorskie,510
2011,Lubelskie,544
2011,Lubuskie,198
2011,Mazowieckie,832
2011,Małopolskie,734
2011,Opolskie,199
2011,Podkarpackie,525
2011,Podlaskie,237
2011,Pomorskie,518
2011,Warmińsko-Mazurskie,262
2011,Wielkopolskie,740
2011,Zachodniopomorskie,283
2011,Łódzkie,595
2011,Śląskie,1079
2011,Świętokrzyskie,382
2012,Dolnośląskie,673
2012,Kujawsko-Pomorskie,522
2012,Lubelskie,548
2012,Lubuskie,179
2012,Mazowieckie,911
2012,Małopolskie,775
2012,Opolskie,253
2012,Podkarpackie,565
2012,Podlaskie,274
2012,Pomorskie,600
2012,Warmińsko-Mazurskie,316
2012,Wielkopolskie,734
2012,Zachodniopomorskie,346
2012,Łódzkie,807
2012,Śląskie,1045
2012,Świętokrzyskie,376
2013,Dolnośląskie,674
2013,Kujawsko-Pomorskie,469
2013,Lubelskie,559
2013,Lubuskie,224
2013,Mazowieckie,989
2013,Małopolskie,722
2013,Opolskie,164
2013,Podkarpackie,656
2013,Podlaskie,220
2013,Pomorskie,609
2013,Warmińsko-Mazurskie,352
2013,Wielkopolskie,863
2013,Zachodniopomorskie,298
2013,Łódzkie,1264
2013,Śląskie,1085
2013,Świętokrzyskie,371
2014,Dolnośląskie,693
2014,Kujawsko-Pomorskie,484
2014,Lubelskie,527
2014,Lubuskie,212
2014,Mazowieckie,985
2014,Małopolskie,778
2014,Opolskie,357
2014,Podkarpackie,810
2014,Podlaskie,192
2014,Pomorskie,656
2014,Warmińsko-Mazurskie,358
2014,Wielkopolskie,839
2014,Zachodniopomorskie,377
2014,Łódzkie,990
2014,Śląskie,1105
2014,Świętokrzyskie,416
2015,Dolnośląskie,806
2015,Kujawsko-Pomorskie,498
2015,Lubelskie,511
2015,Lubuskie,215
2015,Mazowieckie,1134
2015,Małopolskie,894
2015,Opolskie,158
2015,Podkarpackie,659
2015,Podlaskie,204
2015,Pomorskie,568
2015,Warmińsko-Mazurskie,354
2015,Wielkopolskie,867
2015,Zachodniopomorskie,349
2015,Łódzkie,914
2015,Śląskie,1174
2015,Świętokrzyskie,373
2016,Dolnośląskie,791
2016,Kujawsko-Pomorskie,384
2016,Lubelskie,485
2016,Lubuskie,144
2016,Mazowieckie,1058
2016,Małopolskie,899
2016,Opolskie,117
2016,Podkarpackie,657
2016,Podlaskie,284
2016,Pomorskie,546
2016,Warmińsko-Mazurskie,356
2016,Wielkopolskie,801
2016,Zachodniopomorskie,258
2016,Łódzkie,868
2016,Śląskie,1102
2016,Świętokrzyskie,414
2017,Dolnośląskie,826
2017,Kujawsko-Pomorskie,484
2017,Lubelskie,502
2017,Lubuskie,152
2017,Mazowieckie,1082
2017,Małopolskie,738
2017,Opolskie,285
2017,Podkarpackie,653
2017,Podlaskie,301
2017,Pomorskie,690
2017,Warmińsko-Mazurskie,280
2017,Wielkopolskie,935
2017,Zachodniopomorskie,198
2017,Łódzkie,1146
2017,Śląskie,1081
2017,Świętokrzyskie,380
2018,Dolnośląskie,1047
2018,Kujawsko-Pomorskie,459
2018,Lubelskie,389
2018,Lubuskie,163
2018,Mazowieckie,1064
2018,Małopolskie,665
2018,Opolskie,296
2018,Podkarpackie,703
2018,Podlaskie,281
2018,Pomorskie,506
2018,Warmińsko-Mazurskie,415
2018,Wielkopolskie,983
2018,Zachodniopomorskie,205
2018,Łódzkie,998
2018,Śląskie,1155
2018,Świętokrzyskie,388
